track_condition,benchmark_distance,sample_size,avg_speed_mps,std_speed_mps,speed_multiplier,pct_vs_g4
G,1200,907,17.0122,0.3854,1.006013,0.6
G3,1200,1665,17.0046,0.2604,1.005562,0.56
G4,1200,8373,16.9105,0.2845,1.0,0.0
Syn,1200,805,16.8082,0.2828,0.993949,-0.61
S5,1200,3473,16.7529,0.3,0.990678,-0.93
S6,1200,1746,16.6245,0.2912,0.983085,-1.69
S7,1200,1299,16.476,0.3084,0.974303,-2.57
H8,1200,1098,16.3273,0.352,0.965511,-3.45
H9,1200,493,16.2351,0.3442,0.960058,-3.99
H10,1200,307,16.0441,0.3446,0.948767,-5.12
