distance,sample_size,avg_time_seconds,std_time_seconds,avg_speed_mps,std_speed_mps,condition
900,631,52.3,1.66,17.3124,0.2692,G4
1000,5247,58.08,1.51,17.2525,0.3128,G4
1100,4137,64.32,1.59,17.0669,0.3107,G4
1200,8373,71.19,1.5,16.9105,0.2845,G4
1300,3970,77.73,2.28,16.7682,0.2681,G4
1400,7226,83.9,1.95,16.6481,0.2744,G4
1500,2062,90.81,2.18,16.5335,0.2585,G4
1600,4670,97.37,1.93,16.4374,0.2664,G4
1700,764,104.07,2.66,16.2863,0.2395,G4
1800,1247,110.9,2.08,16.2396,0.2467,G4
2000,1740,125.15,2.9,16.0217,0.2877,G4
2200,729,138.79,2.5,15.8613,0.215,G4
2400,399,152.41,3.6,15.7879,0.3308,G4
