venue,track_rating,samples
Yass,1.031366,6
Trentham,1.030455,9
Texas,1.028748,20
Tomingley,1.026587,2
Mareeba,1.02631,48
Berrigan,1.025917,43
Atherton,1.022711,97
Braidwood,1.022247,30
Townsville,1.018211,755
Deniliquin,1.016904,30
Adaminaby,1.016535,16
Warialda,1.016222,2
Hastings,1.015927,1
Cunnamulla,1.015508,1
Tottenham,1.013989,2
Rockhampton,1.013353,710
Thangool,1.012855,68
Riccarton Park Synthetic,1.012697,3
Mendooran,1.010809,10
Randwick,1.010016,1011
Hawkesbury,1.009933,542
Gulgong,1.008981,11
Young,1.008981,7
Cambridge,1.008766,1
Tauherenikau,1.008701,3
Cooktown,1.008465,9
Ellerslie,1.0083,18
Doomben,1.007659,1184
G B - Great Leighs,1.007409,3
Wagga Riverside,1.007405,107
Eagle Farm,1.007278,1158
Gold Coast,1.00699,919
Rosehill,1.006915,862
Bowen,1.006907,42
Bundarra,1.006825,13
Coonabarabran,1.006219,51
Canterbury,1.006023,516
Warwick Farm,1.005458,448
Queanbeyan,1.005236,255
Wyong,1.005199,492
Canberra,1.005145,442
Gordonvale,1.00502,14
Dubbo,1.004835,462
Blackall,1.004592,1
Narrandera,1.004068,62
Lismore,1.004021,148
Kumbia,1.003956,11
G B - Lingfield,1.003933,3
Chinchilla,1.003594,55
Grafton,1.00359,557
Flemington,1.003491,762
Barcaldine,1.003438,36
Nowra,1.002983,284
Cairns,1.002894,325
Beaudesert,1.002701,210
Tumbarumba,1.002555,36
Cooma,1.00241,23
Innisfail,1.002385,65
Muswellbrook,1.002377,415
Canberra Acton,1.002203,153
Warwick,1.001803,210
Randwick-Kensington,1.001498,346
Stanthorpe,1.001477,11
Towong,1.001266,11
Moruya,1.001052,421
Forbes,1.000803,40
Caulfield,1.000546,723
Inverell,1.000543,144
Tamworth,1.000528,553
Bathurst,1.000425,211
Mackay,1.000375,332
Burrumbeet,1.000225,53
Waverley,1.000163,7
Crookwell,0.99998,2
Balaklava,0.999782,374
Te Aroha,0.999745,1
Jandowae,0.999278,6
Ipswich,0.999154,979
Quirindi,0.998954,112
Gold Coast Poly,0.998915,290
New Plymouth Raceway,0.998748,1
Te Rapa,0.998712,10
Colac,0.998697,141
Otaki,0.998266,3
Benalla,0.998141,118
Kununurra,0.997855,25
Morphettville,0.997767,816
Ararat,0.997668,175
Clifton,0.997576,20
G B - Kempton Park,0.997483,3
Bell,0.997401,36
Gayndah,0.997342,21
Warracknabeal,0.997308,111
Kembla Grange,0.997241,831
Sandown-Hillside,0.99704,530
Orange,0.997007,259
